request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00130,768x768_20,768,768,20,700130,1776523538.0571327,1776523623.3375294,1776523795.7934,http://127.0.0.1:18295,200,True,257.73626859800424,
baseline-00131,512x512_20,512,512,20,700131,1776523538.0588093,1776523623.3377001,1776523716.584637,http://127.0.0.1:18296,200,True,178.52582897606771,
baseline-00132,1536x1536_35,1536,1536,35,700132,1776523538.0605187,1776523623.3377814,1776525022.3210485,http://127.0.0.1:18291,200,True,1484.2605316159315,
baseline-00133,1536x1536_35,1536,1536,35,700133,1776523538.062265,1776523623.9708629,1776524534.392068,http://127.0.0.1:18292,200,True,996.3298045659903,
baseline-00134,512x512_20,512,512,20,700134,1776523538.0640602,1776523624.043389,1776523686.1368787,http://127.0.0.1:18293,200,True,148.07282044098247,
baseline-00135,1024x1024_25,1024,1024,25,700135,1776523538.0658906,1776523624.0435517,1776524202.8219817,http://127.0.0.1:18294,200,True,664.756093139993,
baseline-00136,512x512_20,512,512,20,700136,1776523538.0677855,1776523624.043631,1776523666.849407,http://127.0.0.1:18295,200,True,128.7816222780384,
baseline-00137,1024x1024_25,1024,1024,25,700137,1776523538.069709,1776523646.2102878,1776524139.1896448,http://127.0.0.1:18296,200,True,601.1199374300195,
baseline-00138,1024x1024_25,1024,1024,25,700138,1776523538.071687,1776523646.6031463,1776524113.7555683,http://127.0.0.1:18291,200,True,575.6838829109911,
baseline-00139,512x512_20,512,512,20,700139,1776523538.0736954,1776523646.6508422,1776523665.5732253,http://127.0.0.1:18292,200,True,127.49953172402456,
baseline-00140,1024x1024_25,1024,1024,25,700140,1776523538.0757709,1776523646.6517704,1776524220.5046906,http://127.0.0.1:18293,200,True,682.4289215489989,
baseline-00141,1024x1024_25,1024,1024,25,700141,1776523538.077868,1776523646.6519067,1776524227.3889036,http://127.0.0.1:18294,200,True,689.3110373149393,
baseline-00142,768x768_20,768,768,20,700142,1776523538.08003,1776523647.6761382,1776523858.4588795,http://127.0.0.1:18295,200,True,320.37885073700454,
baseline-00143,1536x1536_35,1536,1536,35,700143,1776523538.08222,1776523647.7234735,1776524640.096151,http://127.0.0.1:18296,200,True,1102.0139330070233,
baseline-00144,1024x1024_25,1024,1024,25,700144,1776523538.0844643,1776523647.7243254,1776524153.8933349,http://127.0.0.1:18291,200,True,615.8088718620129,
baseline-00145,768x768_20,768,768,20,700145,1776523538.0867546,1776523647.7244575,1776523727.755516,http://127.0.0.1:18292,200,True,189.66876267199405,
baseline-00146,1024x1024_25,1024,1024,25,700146,1776523538.0890744,1776523648.1048615,1776524262.7274537,http://127.0.0.1:18293,200,True,724.6383810680127,
baseline-00147,1024x1024_25,1024,1024,25,700147,1776523538.091451,1776523648.9070199,1776524267.3399925,http://127.0.0.1:18294,200,True,729.248543402995,
baseline-00148,768x768_20,768,768,20,700148,1776523538.0938458,1776523649.2181618,1776523858.521291,http://127.0.0.1:18295,200,True,320.42744665709324,
baseline-00149,768x768_20,768,768,20,700149,1776523538.0963058,1776523649.2876441,1776523761.916065,http://127.0.0.1:18296,200,True,223.8197606720496,
baseline-00150,1536x1536_35,1536,1536,35,700150,1776523538.0988314,1776523649.2882388,1776525211.0492468,http://127.0.0.1:18291,200,True,1672.9504173019668,
baseline-00151,1024x1024_25,1024,1024,25,700151,1776523538.101378,1776523649.2885876,1776524012.0666635,http://127.0.0.1:18292,200,True,473.9652871149592,
baseline-00152,1024x1024_25,1024,1024,25,700152,1776523538.1042259,1776523665.574581,1776524303.862414,http://127.0.0.1:18293,200,True,765.7581894529285,
baseline-00153,1024x1024_25,1024,1024,25,700153,1776523538.1068842,1776523666.8505974,1776524291.9515958,http://127.0.0.1:18294,200,True,753.8447127549443,
baseline-00154,512x512_20,512,512,20,700154,1776523538.1095653,1776523666.8515341,1776523733.1005282,http://127.0.0.1:18295,200,True,194.9909642409766,
baseline-00155,768x768_20,768,768,20,700155,1776523538.1122873,1776523666.8516006,1776523761.9389284,http://127.0.0.1:18296,200,True,223.8266418259591,
baseline-00156,768x768_20,768,768,20,700156,1776523538.1150632,1776523670.056239,1776523742.2309954,http://127.0.0.1:18291,200,True,204.11593350500334,
baseline-00157,1024x1024_25,1024,1024,25,700157,1776523538.1178696,1776523670.079576,1776524135.3525646,http://127.0.0.1:18292,200,True,597.2346969910432,
baseline-00158,768x768_20,768,768,20,700158,1776523538.1207304,1776523672.3110425,1776523726.9527624,http://127.0.0.1:18293,200,True,188.83203425095417,
baseline-00159,768x768_20,768,768,20,700159,1776523538.1236663,1776523675.4048378,1776523716.071035,http://127.0.0.1:18294,200,True,177.94736999401357,
baseline-00160,512x512_20,512,512,20,700160,1776523538.1266139,1776523675.4510124,1776523733.1232834,http://127.0.0.1:18295,200,True,194.9966705259867,
baseline-00161,1024x1024_25,1024,1024,25,700161,1776523538.129594,1776523675.4511418,1776524195.363962,http://127.0.0.1:18296,200,True,657.2343690820271,
baseline-00162,768x768_20,768,768,20,700162,1776523538.1326392,1776523675.89215,1776523742.2573893,http://127.0.0.1:18291,200,True,204.1247514920542,
baseline-00163,1536x1536_35,1536,1536,35,700163,1776523538.1357388,1776523675.9373188,1776524712.1099067,http://127.0.0.1:18292,200,True,1173.9741696129786,
baseline-00164,1536x1536_35,1536,1536,35,700164,1776523538.138879,1776523675.9379768,1776524813.040224,http://127.0.0.1:18293,200,True,1274.9013462269213,
baseline-00165,512x512_20,512,512,20,700165,1776523538.1420403,1776523686.13814,1776523731.2344031,http://127.0.0.1:18294,200,True,193.09236497001257,
baseline-00166,768x768_20,768,768,20,700166,1776523538.1452723,1776523688.22212,1776523858.5217655,http://127.0.0.1:18295,200,True,320.3764941870468,
baseline-00167,1024x1024_25,1024,1024,25,700167,1776523538.1485305,1776523690.2470737,1776524236.068538,http://127.0.0.1:18296,200,True,697.9200086849742,
baseline-00168,768x768_20,768,768,20,700168,1776523538.1518455,1776523691.5420227,1776523742.2780304,http://127.0.0.1:18291,200,True,204.1261863349937,
baseline-00169,512x512_20,512,512,20,700169,1776523538.15519,1776523700.0776033,1776523784.5356076,http://127.0.0.1:18292,200,True,246.38041899900418,
baseline-00170,1536x1536_35,1536,1536,35,700170,1776523538.15858,1776523700.7054687,1776524966.857261,http://127.0.0.1:18293,200,True,1428.6986831800314,
baseline-00171,1024x1024_25,1024,1024,25,700171,1776523538.162016,1776523711.0239255,1776524399.8838704,http://127.0.0.1:18294,200,True,861.721856427961,
baseline-00172,1024x1024_25,1024,1024,25,700172,1776523538.1655073,1776523712.9691837,1776523991.5503008,http://127.0.0.1:18295,200,True,453.3847952840151,
baseline-00173,1024x1024_25,1024,1024,25,700173,1776523538.169039,1776523716.0722733,1776524281.4963052,http://127.0.0.1:18296,200,True,743.3272676100023,
baseline-00174,1024x1024_25,1024,1024,25,700174,1776523538.1726155,1776523716.546897,1776524194.5095816,http://127.0.0.1:18291,200,True,656.3369686269434,
baseline-00175,768x768_20,768,768,20,700175,1776523538.176225,1776523716.585731,1776523744.5357454,http://127.0.0.1:18292,200,True,206.35952186200302,
baseline-00176,512x512_20,512,512,20,700176,1776523538.1798913,1776523726.9543095,1776523783.879501,http://127.0.0.1:18293,200,True,245.6996115379734,
baseline-00177,1024x1024_25,1024,1024,25,700177,1776523538.1835995,1776523727.7129567,1776524424.6494787,http://127.0.0.1:18294,200,True,886.4658834730508,
baseline-00178,1024x1024_25,1024,1024,25,700178,1776523538.187541,1776523727.7783518,1776524115.5066543,http://127.0.0.1:18295,200,True,577.3191155369859,
