request_id,req_type,width,height,steps,seed,send_ts,arrival_ts,return_ts,backend,status_code,ok,e2e_s,error
baseline-00175,768x768_20,768,768,20,700175,1776515343.1881142,,1776516251.8584569,,200,True,908.6703440180281,
baseline-00176,512x512_20,512,512,20,700176,1776515343.191786,,1776516385.1515968,,200,True,1041.9598116959678,
baseline-00177,1024x1024_25,1024,1024,25,700177,1776515343.1955097,,1776516115.1130865,,200,True,771.9175783649553,
baseline-00178,1024x1024_25,1024,1024,25,700178,1776515343.1994662,,1776515977.5437324,,200,True,634.3442677379353,
baseline-00179,1024x1024_25,1024,1024,25,700179,1776515343.2033148,,1776516218.3511832,,200,True,875.1478698370047,
baseline-00180,1024x1024_25,1024,1024,25,700180,1776515343.2071648,,1776516493.4846437,,200,True,1150.2774802120402,
baseline-00181,1024x1024_25,1024,1024,25,700181,1776515343.2110581,,1776516276.1812289,,200,True,932.9701723390026,
baseline-00182,1536x1536_35,1536,1536,35,700182,1776515343.2149985,,1776516468.1865964,,200,True,1124.9715999880573,
baseline-00183,512x512_20,512,512,20,700183,1776515343.2189755,,1776516131.3295488,,200,True,788.1105744689703,
baseline-00184,1024x1024_25,1024,1024,25,700184,1776515343.2229996,,1776516001.9881585,,200,True,658.7651607950684,
baseline-00185,768x768_20,768,768,20,700185,1776515343.22707,,1776516235.3245773,,200,True,892.0975081330398,
baseline-00186,1536x1536_35,1536,1536,35,700186,1776515343.2311916,,1776516577.1054397,,200,True,1233.8742498470237,
baseline-00187,768x768_20,768,768,20,700187,1776515343.235334,,1776516292.1205194,,200,True,948.8851869980572,
baseline-00188,768x768_20,768,768,20,700188,1776515343.239531,,1776516482.9408937,,200,True,1139.7013654479524,
baseline-00189,1024x1024_25,1024,1024,25,700189,1776515343.2437816,,1776516156.3896215,,200,True,813.1458415600937,
baseline-00190,1024x1024_25,1024,1024,25,700190,1776515343.2480745,,1776516026.1539087,,200,True,682.905835986021,
baseline-00191,768x768_20,768,768,20,700191,1776515343.2523994,,1776516253.1097894,,200,True,909.8573911139974,
baseline-00192,768x768_20,768,768,20,700192,1776515343.2567692,,1776516592.526509,,200,True,1249.2697413520655,
baseline-00193,1536x1536_35,1536,1536,35,700193,1776515343.2611701,,1776516376.0540824,,200,True,1032.7929138080217,
baseline-00194,1024x1024_25,1024,1024,25,700194,1776515343.2656136,,1776516507.2432675,,200,True,1163.9776555360295,
